protein_accession_clean,gene_symbol,protein_name_final,HPX,Tf,control,present_in_HPX,present_in_Tf,present_in_control,candidate_HPX_specific,candidate_shared_HPX_Tf,candidate_HPX_over_background_score
Q13822,ENPP2,Autotaxin,0.0,1.0,0.0,False,True,False,False,False,0.0
Q96IY4,CPB2,Carboxypeptidase B2,0.0,2.0,0.0,False,True,False,False,False,0.0
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",4.0,2.0,5.0,True,True,True,False,True,-1.0
P04259,KRT6B,"Keratin, type II cytoskeletal 6B",4.0,2.0,5.0,True,True,True,False,True,-1.0
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",4.0,0.0,5.0,True,False,True,False,False,-1.0
P13647,KRT5,"Keratin, type II cytoskeletal 5",4.0,2.0,5.0,True,True,True,False,True,-1.0
P25705,ATP5F1A,"ATP synthase F(1) complex subunit alpha, mitochondrial",4.0,0.0,5.0,True,False,True,False,False,-1.0
P48668,KRT6C,"Keratin, type II cytoskeletal 6C",4.0,2.0,5.0,True,True,True,False,True,-1.0
P62736,ACTA2,"Actin, aortic smooth muscle",4.0,2.0,5.0,True,True,True,False,True,-1.0
P63267,ACTG2,"Actin, gamma-enteric smooth muscle",4.0,2.0,5.0,True,True,True,False,True,-1.0
P68363,TUBA1B,Tubulin alpha-1B chain,4.0,1.0,5.0,True,True,True,False,True,-1.0
P10620,MGST1,Microsomal glutathione S-transferase 1,3.0,0.0,4.0,True,False,True,False,False,-1.0
P60660,MYL6,Myosin light polypeptide 6,3.0,2.0,4.0,True,True,True,False,True,-1.0
P61204,ARF3,ADP-ribosylation factor 3,3.0,0.0,4.0,True,False,True,False,False,-1.0
P68104,EEF1A1,Elongation factor 1-alpha 1,3.0,0.0,4.0,True,False,True,False,False,-1.0
P68371,TUBB4B,Tubulin beta-4B chain,3.0,0.0,4.0,True,False,True,False,False,-1.0
P84077,ARF1,ADP-ribosylation factor 1,3.0,0.0,4.0,True,False,True,False,False,-1.0
Q5VTE0,EEF1A1P5,Putative elongation factor 1-alpha-like 3,3.0,0.0,4.0,True,False,True,False,False,-1.0
P10909,CLU,Clusterin,2.0,0.0,3.0,True,False,True,False,False,-1.0
Q05639,EEF1A2,Elongation factor 1-alpha 2,2.0,0.0,3.0,True,False,True,False,False,-1.0
Q7Z3Z0,KRT25,"Keratin, type I cytoskeletal 25",2.0,1.0,3.0,True,True,True,False,True,-1.0
Q9H9B4,SFXN1,Sideroflexin-1,2.0,0.0,3.0,True,False,True,False,False,-1.0
A5A3E0,POTEF,POTE ankyrin domain family member F,1.0,2.0,2.0,True,True,True,False,True,-1.0
O60841,EIF5B,Eukaryotic translation initiation factor 5B,1.0,0.0,2.0,True,False,True,False,False,-1.0
