protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
P80404,GABT_HUMAN,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",Homo sapiens,uniprot_api
P78417,GSTO1_HUMAN,GSTO1,Glutathione S-transferase omega-1,Homo sapiens,uniprot_api
P84095,RHOG_HUMAN,RHOG,Rho-related GTP-binding protein RhoG,Homo sapiens,uniprot_api
P84098,RL19_HUMAN,RPL19,Large ribosomal subunit protein eL19,Homo sapiens,uniprot_api
P78362,SRPK2_HUMAN,SRPK2,SRSF protein kinase 2,Homo sapiens,uniprot_api
P84085,ARF5_HUMAN,ARF5,ADP-ribosylation factor 5,Homo sapiens,uniprot_api
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",Homo sapiens,uniprot_api
P69891,HBG1_HUMAN,HBG1,Hemoglobin subunit gamma-1,Homo sapiens,uniprot_api
P82279,CRUM1_HUMAN,CRB1,Protein crumbs homolog 1,Homo sapiens,uniprot_api
P83731,RL24_HUMAN,RPL24,Large ribosomal subunit protein eL24,Homo sapiens,uniprot_api
P83881,RL36A_HUMAN,RPL36A,Large ribosomal subunit protein eL42,Homo sapiens,uniprot_api
P68104,EF1A1_HUMAN,EEF1A1,Elongation factor 1-alpha 1,Homo sapiens,uniprot_api
P68371,TBB4B_HUMAN,TUBB4B,Tubulin beta-4B chain,Homo sapiens,uniprot_api
P78329,CP4F2_HUMAN,CYP4F2,Cytochrome P450 4F2,Homo sapiens,uniprot_api
P78527,PRKDC_HUMAN,PRKDC,DNA-dependent protein kinase catalytic subunit,Homo sapiens,uniprot_api
P80297,MT1X_HUMAN,MT1X,Metallothionein-1X,Homo sapiens,uniprot_api
P80748,LV321_HUMAN,IGLV3-21,Immunoglobulin lambda variable 3-21,Homo sapiens,uniprot_api
P84077,ARF1_HUMAN,ARF1,ADP-ribosylation factor 1,Homo sapiens,uniprot_api
P80108,PHLD_HUMAN,GPLD1,Phosphatidylinositol-glycan-specific phospholipase D,Homo sapiens,uniprot_api
P81605,DCD_HUMAN,DCD,Dermcidin,Homo sapiens,uniprot_api
P78371,TCPB_HUMAN,CCT2,T-complex protein 1 subunit beta,Homo sapiens,uniprot_api
Q01081,U2AF1_HUMAN,U2AF1,Splicing factor U2AF 35 kDa subunit,Homo sapiens,uniprot_api
Q00325,S25A3_HUMAN,SLC25A3,Solute carrier family 25 member 3,Homo sapiens,uniprot_api
Q01581,HMCS1_HUMAN,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Homo sapiens,uniprot_api
Q00266,METK1_HUMAN,MAT1A,S-adenosylmethionine synthase isoform type-1,Homo sapiens,uniprot_api
Q00839,HNRPU_HUMAN,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,Homo sapiens,uniprot_api
Q01469,FABP5_HUMAN,FABP5,Fatty acid-binding protein 5,Homo sapiens,uniprot_api
Q02543,RL18A_HUMAN,RPL18A,Large ribosomal subunit protein eL20,Homo sapiens,uniprot_api
Q00005,2ABB_HUMAN,PPP2R2B,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform,Homo sapiens,uniprot_api
Q00577,PURA_HUMAN,PURA,Transcriptional activator protein Pur-alpha,Homo sapiens,uniprot_api
Q00796,DHSO_HUMAN,SORD,Sorbitol dehydrogenase,Homo sapiens,uniprot_api
Q02539,H11_HUMAN,H1-1,Histone H1.1,Homo sapiens,uniprot_api
P98187,CP4F8_HUMAN,CYP4F8,Cytochrome P450 4F8,Homo sapiens,uniprot_api
Q01105,SET_HUMAN,SET,Protein SET,Homo sapiens,uniprot_api
Q03426,KIME_HUMAN,MVK,Mevalonate kinase,Homo sapiens,uniprot_api
Q04695,K1C17_HUMAN,KRT17,"Keratin, type I cytoskeletal 17",Homo sapiens,uniprot_api
Q00765,REEP5_HUMAN,REEP5,Receptor expression-enhancing protein 5,Homo sapiens,uniprot_api
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial",Homo sapiens,uniprot_api
Q02878,RL6_HUMAN,RPL6,Large ribosomal subunit protein eL6,Homo sapiens,uniprot_api
Q02978,M2OM_HUMAN,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,Homo sapiens,uniprot_api
Q01130,SRSF2_HUMAN,SRSF2,Serine/arginine-rich splicing factor 2,Homo sapiens,uniprot_api
Q01813,PFKAP_HUMAN,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",Homo sapiens,uniprot_api
Q02413,DSG1_HUMAN,DSG1,Desmoglein-1,Homo sapiens,uniprot_api
Q02928,CP4AB_HUMAN,CYP4A11,Cytochrome P450 4A11,Homo sapiens,uniprot_api
Q00610,CLH1_HUMAN,CLTC,Clathrin heavy chain 1,Homo sapiens,uniprot_api
Q02338,BDH_HUMAN,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
Q08043,ACTN3_HUMAN,ACTN3,Alpha-actinin-3,Homo sapiens,uniprot_api
Q07065,CKAP4_HUMAN,CKAP4,Cytoskeleton-associated protein 4,Homo sapiens,uniprot_api
Q08554,DSC1_HUMAN,DSC1,Desmocollin-1,Homo sapiens,uniprot_api
Q08945,SSRP1_HUMAN,SSRP1,FACT complex subunit SSRP1,Homo sapiens,uniprot_api
Q04828,AK1C1_HUMAN,AKR1C1,Aldo-keto reductase family 1 member C1,Homo sapiens,uniprot_api
Q08211,DHX9_HUMAN,DHX9,ATP-dependent RNA helicase A,Homo sapiens,uniprot_api
Q08AH3,ACS2A_HUMAN,ACSM2A,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",Homo sapiens,uniprot_api
Q06210,GFPT1_HUMAN,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Homo sapiens,uniprot_api
Q10588,BST1_HUMAN,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Homo sapiens,uniprot_api
Q12905,ILF2_HUMAN,ILF2,Interleukin enhancer-binding factor 2,Homo sapiens,uniprot_api
Q12906,ILF3_HUMAN,ILF3,Interleukin enhancer-binding factor 3,Homo sapiens,uniprot_api
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2,Homo sapiens,uniprot_api
Q06278,AOXA_HUMAN,AOX1,Aldehyde oxidase,Homo sapiens,uniprot_api
Q06323,PSME1_HUMAN,PSME1,Proteasome activator complex subunit 1,Homo sapiens,uniprot_api
Q06520,ST2A1_HUMAN,SULT2A1,Sulfotransferase 2A1,Homo sapiens,uniprot_api
Q06828,FMOD_HUMAN,FMOD,Fibromodulin,Homo sapiens,uniprot_api
Q06830,PRDX1_HUMAN,PRDX1,Peroxiredoxin-1,Homo sapiens,uniprot_api
Q07020,RL18_HUMAN,RPL18,Large ribosomal subunit protein eL18,Homo sapiens,uniprot_api
Q07954,LRP1_HUMAN,LRP1,Prolow-density lipoprotein receptor-related protein 1,Homo sapiens,uniprot_api
Q08170,SRSF4_HUMAN,SRSF4,Serine/arginine-rich splicing factor 4,Homo sapiens,uniprot_api
