protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
Q9H0W9,BKGD_HUMAN,BKGD,Beta-keto L-gulonate decarboxylase,Homo sapiens,uniprot_api
Q9BY66,KDM5D_HUMAN,KDM5D,Lysine-specific demethylase 5D,Homo sapiens,uniprot_api
Q9BX69,CARD6_HUMAN,CARD6,Caspase recruitment domain-containing protein 6,Homo sapiens,uniprot_api
Q9BXN6,SPNXD_HUMAN,SPANXD,Sperm protein associated with the nucleus on the X chromosome D,Homo sapiens,uniprot_api
Q9BYE4,SPR2G_HUMAN,SPRR2G,Small proline-rich protein 2G,Homo sapiens,uniprot_api
Q9H7E9,CH033_HUMAN,C8orf33,UPF0488 protein C8orf33,Homo sapiens,uniprot_api
Q9H7X3,ZN696_HUMAN,ZNF696,Zinc finger protein 696,Homo sapiens,uniprot_api
Q9H4E5,RHOJ_HUMAN,RHOJ,Rho-related GTP-binding protein RhoJ,Homo sapiens,uniprot_api
Q9H2K8,TAOK3_HUMAN,TAOK3,Serine/threonine-protein kinase TAO3,Homo sapiens,uniprot_api
Q9H3K6,BOLA2_HUMAN,BOLA2,BolA-like protein 2,Homo sapiens,uniprot_api
Q9H4B7,TBB1_HUMAN,TUBB1,Tubulin beta-1 chain,Homo sapiens,uniprot_api
Q9H8H3,TMT1A_HUMAN,TMT1A,Thiol S-methyltransferase TMT1A,Homo sapiens,uniprot_api
Q9HCC0,MCCB_HUMAN,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Homo sapiens,uniprot_api
Q9H9B4,SFXN1_HUMAN,SFXN1,Sideroflexin-1,Homo sapiens,uniprot_api
Q9H479,FN3K_HUMAN,FN3K,Fructosamine-3-kinase,Homo sapiens,uniprot_api
Q9H8L6,MMRN2_HUMAN,MMRN2,Multimerin-2,Homo sapiens,uniprot_api
Q9HAW8,UD110_HUMAN,UGT1A10,UDP-glucuronosyltransferase 1A10,Homo sapiens,uniprot_api
Q9H2A2,AL8A1_HUMAN,ALDH8A1,2-aminomuconic semialdehyde dehydrogenase,Homo sapiens,uniprot_api
Q9H3S7,PTN23_HUMAN,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,Homo sapiens,uniprot_api
Q9H6S0,YTDC2_HUMAN,YTHDC2,3'-5' RNA helicase YTHDC2,Homo sapiens,uniprot_api
Q9HAV0,GBB4_HUMAN,GNB4,Guanine nucleotide-binding protein subunit beta-4,Homo sapiens,uniprot_api
Q9HCE9,ANO8_HUMAN,ANO8,Anoctamin-8,Homo sapiens,uniprot_api
Q9HAW9,UD18_HUMAN,UGT1A8,UDP-glucuronosyltransferase 1A8,Homo sapiens,uniprot_api
Q9H2G2,SLK_HUMAN,SLK,STE20-like serine/threonine-protein kinase,Homo sapiens,uniprot_api
Q9H254,SPTN4_HUMAN,SPTBN4,"Spectrin beta chain, non-erythrocytic 4",Homo sapiens,uniprot_api
Q9H2M3,BHMT2_HUMAN,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Homo sapiens,uniprot_api
Q9HAW7,UD17_HUMAN,UGT1A7,UDP-glucuronosyltransferase 1A7,Homo sapiens,uniprot_api
Q9HCE1,MOV10_HUMAN,MOV10,Helicase MOV-10,Homo sapiens,uniprot_api
Q9HA64,KT3K_HUMAN,FN3KRP,Ketosamine-3-kinase,Homo sapiens,uniprot_api
Q9H9S3,S61A2_HUMAN,SEC61A2,Protein transport protein Sec61 subunit alpha isoform 2,Homo sapiens,uniprot_api
Q9NRF8,PYRG2_HUMAN,CTPS2,CTP synthase 2,Homo sapiens,uniprot_api
Q9NS86,LANC2_HUMAN,LANCL2,LanC-like protein 2,Homo sapiens,uniprot_api
Q9NWS8,RMND1_HUMAN,RMND1,Required for meiotic nuclear division protein 1 homolog,Homo sapiens,uniprot_api
Q9NP72,RAB18_HUMAN,RAB18,Ras-related protein Rab-18,Homo sapiens,uniprot_api
Q9NTK5,OLA1_HUMAN,OLA1,Obg-like ATPase 1,Homo sapiens,uniprot_api
Q9HCN8,SDF2L_HUMAN,SDF2L1,Stromal cell-derived factor 2-like protein 1,Homo sapiens,uniprot_api
Q9NP97,DLRB1_HUMAN,DYNLRB1,Dynein light chain roadblock-type 1,Homo sapiens,uniprot_api
Q9HCH3,CPNE5_HUMAN,CPNE5,Copine-5,Homo sapiens,uniprot_api
Q9NQC3,RTN4_HUMAN,RTN4,Reticulon-4,Homo sapiens,uniprot_api
Q9NQ94,A1CF_HUMAN,A1CF,APOBEC1 complementation factor,Homo sapiens,uniprot_api
Q9NUL5,SHFL_HUMAN,SHFL,Shiftless antiviral inhibitor of ribosomal frameshifting protein,Homo sapiens,uniprot_api
Q9NPJ3,ACO13_HUMAN,ACOT13,Acyl-coenzyme A thioesterase 13,Homo sapiens,uniprot_api
Q9NVS9,PNPO_HUMAN,PNPO,Pyridoxine-5'-phosphate oxidase,Homo sapiens,uniprot_api
Q9HDC9,APMAP_HUMAN,APMAP,Adipocyte plasma membrane-associated protein,Homo sapiens,uniprot_api
Q9NUI1,DECR2_HUMAN,DECR2,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",Homo sapiens,uniprot_api
Q9NR16,C163B_HUMAN,CD163L1,Scavenger receptor cysteine-rich type 1 protein M160,Homo sapiens,uniprot_api
Q9NVQ4,FAIM1_HUMAN,FAIM,Fas apoptotic inhibitory molecule 1,Homo sapiens,uniprot_api
Q9NS26,SPNXA_HUMAN,SPANXA1,Sperm protein associated with the nucleus on the X chromosome A,Homo sapiens,uniprot_api
Q9HCJ6,VAT1L_HUMAN,VAT1L,Putative NADPH-dependent quinone oxidoreductase VAT1L,Homo sapiens,uniprot_api
Q9NUQ6,SPS2L_HUMAN,SPATS2L,SPATS2-like protein,Homo sapiens,uniprot_api
Q9NR77,PXMP2_HUMAN,PXMP2,Peroxisomal membrane protein 2,Homo sapiens,uniprot_api
Q9NTZ6,RBM12_HUMAN,RBM12,RNA-binding protein 12,Homo sapiens,uniprot_api
Q9NTX5,ECHD1_HUMAN,ECHDC1,Ethylmalonyl-CoA decarboxylase,Homo sapiens,uniprot_api
Q9NQ39,RS10L_HUMAN,RPS10P5,Putative ribosomal protein eS10-like,Homo sapiens,uniprot_api
Q9NSQ0,RRP7B_HUMAN,RRP7BP,Putative ribosomal RNA-processing protein 7 homolog B,Homo sapiens,uniprot_api
Q9P0S3,ORML1_HUMAN,ORMDL1,ORM1-like protein 1,Homo sapiens,uniprot_api
Q9P121,NTRI_HUMAN,NTM,Neurotrimin,Homo sapiens,uniprot_api
Q9NZ01,TECR_HUMAN,TECR,Very-long-chain enoyl-CoA reductase,Homo sapiens,uniprot_api
Q9NZT1,CALL5_HUMAN,CALML5,Calmodulin-like protein 5,Homo sapiens,uniprot_api
Q9UBR1,BUP1_HUMAN,UPB1,Beta-ureidopropionase,Homo sapiens,uniprot_api
Q9NX47,MARH5_HUMAN,MARCHF5,E3 ubiquitin-protein ligase MARCHF5,Homo sapiens,uniprot_api
Q9NZ45,CISD1_HUMAN,CISD1,CDGSH iron-sulfur domain-containing protein 1,Homo sapiens,uniprot_api
Q9NZI2,KCIP1_HUMAN,KCNIP1,A-type potassium channel modulatory protein KCNIP1,Homo sapiens,uniprot_api
Q9P035,HACD3_HUMAN,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,Homo sapiens,uniprot_api
Q9P0W0,IFNK_HUMAN,IFNK,Interferon kappa,Homo sapiens,uniprot_api
Q9P0Z9,SOX_HUMAN,PIPOX,Peroxisomal sarcosine oxidase,Homo sapiens,uniprot_api
Q9UBQ7,GRHPR_HUMAN,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,Homo sapiens,uniprot_api
Q9UBV2,SE1L1_HUMAN,SEL1L,Protein sel-1 homolog 1,Homo sapiens,uniprot_api
Q9UBF2,COPG2_HUMAN,COPG2,Coatomer subunit gamma-2,Homo sapiens,uniprot_api
Q9UBM7,DHCR7_HUMAN,DHCR7,7-dehydrocholesterol reductase,Homo sapiens,uniprot_api
Q9UBN7,HDAC6_HUMAN,HDAC6,Protein deacetylase HDAC6,Homo sapiens,uniprot_api
Q9NZN3,EHD3_HUMAN,EHD3,EH domain-containing protein 3,Homo sapiens,uniprot_api
Q9UBL6,CPNE7_HUMAN,CPNE7,Copine-7,Homo sapiens,uniprot_api
Q9NY65,TBA8_HUMAN,TUBA8,Tubulin alpha-8 chain,Homo sapiens,uniprot_api
Q9P2E9,RRBP1_HUMAN,RRBP1,Ribosome-binding protein 1,Homo sapiens,uniprot_api
Q9NZB2,F120A_HUMAN,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,Homo sapiens,uniprot_api
Q9NZL9,MAT2B_HUMAN,MAT2B,Methionine adenosyltransferase 2 subunit beta,Homo sapiens,uniprot_api
Q9NYL9,TMOD3_HUMAN,TMOD3,Tropomodulin-3,Homo sapiens,uniprot_api
Q9NY87,SPNXC_HUMAN,SPANXC,Sperm protein associated with the nucleus on the X chromosome C,Homo sapiens,uniprot_api
Q9NX05,F120C_HUMAN,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2,Homo sapiens,uniprot_api
Q9UKR5,ERG28_HUMAN,ERG28,Ergosterol biosynthetic protein 28 homolog,Homo sapiens,uniprot_api
Q9UG56,PISD_HUMAN,PISD,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",Homo sapiens,uniprot_api
Q9UIJ7,KAD3_HUMAN,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial",Homo sapiens,uniprot_api
Q9UJS0,S2513_HUMAN,SLC25A13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",Homo sapiens,uniprot_api
Q9UL25,RAB21_HUMAN,RAB21,Ras-related protein Rab-21,Homo sapiens,uniprot_api
Q9UDR5,AASS_HUMAN,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",Homo sapiens,uniprot_api
Q9UGL1,KDM5B_HUMAN,KDM5B,Lysine-specific demethylase 5B,Homo sapiens,uniprot_api
Q9UHE5,NAT8_HUMAN,NAT8,N-acetyltransferase 8,Homo sapiens,uniprot_api
Q9UI17,M2GD_HUMAN,DMGDH,"Dimethylglycine dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
Q9UBX3,DIC_HUMAN,SLC25A10,Mitochondrial dicarboxylate carrier,Homo sapiens,uniprot_api
Q9UI10,EI2BD_HUMAN,EIF2B4,Translation initiation factor eIF2B subunit delta,Homo sapiens,uniprot_api
Q9UJM8,HAOX1_HUMAN,HAO1,2-Hydroxyacid oxidase 1,Homo sapiens,uniprot_api
Q9UJV9,DDX41_HUMAN,DDX41,Probable ATP-dependent RNA helicase DDX41,Homo sapiens,uniprot_api
Q9UHB9,SRP68_HUMAN,SRP68,Signal recognition particle subunit SRP68,Homo sapiens,uniprot_api
Q9UL46,PSME2_HUMAN,PSME2,Proteasome activator complex subunit 2,Homo sapiens,uniprot_api
Q9UHG3,PCYOX_HUMAN,PCYOX1,Prenylcysteine oxidase 1,Homo sapiens,uniprot_api
Q9UK22,FBX2_HUMAN,FBXO2,F-box only protein 2,Homo sapiens,uniprot_api
Q9ULC5,ACSL5_HUMAN,ACSL5,Long-chain-fatty-acid--CoA ligase 5,Homo sapiens,uniprot_api
Q9UNU6,CP8B1_HUMAN,CYP8B1,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,Homo sapiens,uniprot_api
Q9ULT0,TTC7A_HUMAN,TTC7A,Tetratricopeptide repeat protein 7A,Homo sapiens,uniprot_api
Q9UDW1,QCR9_HUMAN,UQCR10,Cytochrome b-c1 complex subunit 9,Homo sapiens,uniprot_api
Q9ULD2,MTUS1_HUMAN,MTUS1,Microtubule-associated tumor suppressor 1,Homo sapiens,uniprot_api
Q9UGM5,FETUB_HUMAN,FETUB,Fetuin-B,Homo sapiens,uniprot_api
Q9UKD2,MRT4_HUMAN,MRTO4,mRNA turnover protein 4 homolog,Homo sapiens,uniprot_api
Q9UKY3,CES1P_HUMAN,CES1P1,Putative inactive carboxylesterase 4,Homo sapiens,uniprot_api
Q9Y241,HIG1A_HUMAN,HIGD1A,"HIG1 domain family member 1A, mitochondrial",Homo sapiens,uniprot_api
Q9Y2P5,S27A5_HUMAN,SLC27A5,Long-chain fatty acid transport protein 5,Homo sapiens,uniprot_api
Q9Y3E5,PTH2_HUMAN,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial",Homo sapiens,uniprot_api
Q9Y5C1,ANGL3_HUMAN,ANGPTL3,Angiopoietin-related protein 3,Homo sapiens,uniprot_api
Q9Y281,COF2_HUMAN,CFL2,Cofilin-2,Homo sapiens,uniprot_api
Q9Y2Z0,SGT1_HUMAN,SUGT1,Protein SGT1 homolog,Homo sapiens,uniprot_api
Q9Y3U8,RL36_HUMAN,RPL36,Large ribosomal subunit protein eL36,Homo sapiens,uniprot_api
Q9Y3D6,FIS1_HUMAN,FIS1,Mitochondrial fission 1 protein,Homo sapiens,uniprot_api
Q9Y3P9,RBGP1_HUMAN,RABGAP1,Rab GTPase-activating protein 1,Homo sapiens,uniprot_api
Q9Y5B9,SP16H_HUMAN,SUPT16H,FACT complex subunit SPT16,Homo sapiens,uniprot_api
Q9Y5K8,VATD_HUMAN,ATP6V1D,V-type proton ATPase subunit D,Homo sapiens,uniprot_api
Q9Y4C0,NRX3A_HUMAN,NRXN3,Neurexin-3,Homo sapiens,uniprot_api
Q9Y285,SYFA_HUMAN,FARSA,Phenylalanine--tRNA ligase alpha subunit,Homo sapiens,uniprot_api
Q9Y2S2,CRYL1_HUMAN,CRYL1,Lambda-crystallin homolog,Homo sapiens,uniprot_api
Q9Y5L4,TIM13_HUMAN,TIMM13,Mitochondrial import inner membrane translocase subunit Tim13,Homo sapiens,uniprot_api
Q9UQ88,CD11A_HUMAN,CDK11A,Cyclin-dependent kinase 11A,Homo sapiens,uniprot_api
Q9Y2T3,GUAD_HUMAN,GDA,Guanine deaminase,Homo sapiens,uniprot_api
Q9Y2Q3,GSTK1_HUMAN,GSTK1,Glutathione S-transferase kappa 1,Homo sapiens,uniprot_api
Q9Y3B3,TMED7_HUMAN,TMED7,Transmembrane emp24 domain-containing protein 7,Homo sapiens,uniprot_api
Q9Y305,ACOT9_HUMAN,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",Homo sapiens,uniprot_api
Q9Y493,ZAN_HUMAN,ZAN,Zonadhesin,Homo sapiens,uniprot_api
Q9Y2R9,RT07_HUMAN,MRPS7,Small ribosomal subunit protein uS7m,Homo sapiens,uniprot_api
Q9Y3E0,GOT1B_HUMAN,GOLT1B,Vesicle transport protein GOT1B,Homo sapiens,uniprot_api
Q9UNX3,RL26L_HUMAN,RPL26L1,Ribosomal protein uL24-like,Homo sapiens,uniprot_api
Q9Y536,PAL4A_HUMAN,PPIAL4A,Peptidyl-prolyl cis-trans isomerase A-like 4A,Homo sapiens,uniprot_api
Q9Y5U8,MPC1_HUMAN,MPC1,Mitochondrial pyruvate carrier 1,Homo sapiens,uniprot_api
Q9Y678,COPG1_HUMAN,COPG1,Coatomer subunit gamma-1,Homo sapiens,uniprot_api
Q9Y6N5,SQOR_HUMAN,SQOR,"Sulfide:quinone oxidoreductase, mitochondrial",Homo sapiens,uniprot_api
Q9Y697,NFS1_HUMAN,NFS1,Cysteine desulfurase,Homo sapiens,uniprot_api
Q9Y5P6,GMPPB_HUMAN,GMPPB,Mannose-1-phosphate guanylyltransferase catalytic subunit beta,Homo sapiens,uniprot_api
Q9Y619,ORNT1_HUMAN,SLC25A15,Mitochondrial ornithine transporter 1,Homo sapiens,uniprot_api
Q9Y6Q5,AP1M2_HUMAN,AP1M2,AP-1 complex subunit mu-2,Homo sapiens,uniprot_api
Q9Y6I3,EPN1_HUMAN,EPN1,Epsin-1,Homo sapiens,uniprot_api
Q9Y6Q9,NCOA3_HUMAN,NCOA3,Nuclear receptor coactivator 3,Homo sapiens,uniprot_api
Q9Y5M8,SRPRB_HUMAN,SRPRB,Signal recognition particle receptor subunit beta,Homo sapiens,uniprot_api
Q96RS6,NUDC1_HUMAN,NUDCD1,NudC domain-containing protein 1,Homo sapiens,uniprot_api
Q7L190,DPPA4_HUMAN,DPPA4,Developmental pluripotency-associated protein 4,Homo sapiens,uniprot_api
Q8NFH8,REPS2_HUMAN,REPS2,RalBP1-associated Eps domain-containing protein 2,Homo sapiens,uniprot_api
Q9NP86,CABP5_HUMAN,CABP5,Calcium-binding protein 5,Homo sapiens,uniprot_api
Q9NZJ6,COQ3_HUMAN,COQ3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Homo sapiens,uniprot_api
Q15884,EREP1_HUMAN,ENTREP1,Endosomal transmembrane epsin interactor 1,Homo sapiens,uniprot_api
Q9HD34,LYRM4_HUMAN,LYRM4,LYR motif-containing protein 4,Homo sapiens,uniprot_api
Q96CS7,PKHB2_HUMAN,PLEKHB2,Pleckstrin homology domain-containing family B member 2,Homo sapiens,uniprot_api
Q6PL18,ATAD2_HUMAN,ATAD2,ATPase family AAA domain-containing protein 2,Homo sapiens,uniprot_api
Q9NTJ5,SAC1_HUMAN,SACM1L,Phosphatidylinositol-3-phosphatase SAC1,Homo sapiens,uniprot_api
P28065,PSB9_HUMAN,PSMB9,Proteasome subunit beta type-9,Homo sapiens,uniprot_api
